date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:03	5224/5224	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic-ext.woff2	C:/My%20Web%20Sites/class_central/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
18:05:03	7484/7484	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2003%20Mar%202023%2018:30:21%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic.woff2	C:/My%20Web%20Sites/class_central/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-cyrillic.woff2	(from https://www.classcentral.com/)
18:05:03	6244/6244	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek-ext.woff2	C:/My%20Web%20Sites/class_central/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek-ext.woff2	(from https://www.classcentral.com/)
18:05:03	6696/6696	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek.woff2	C:/My%20Web%20Sites/class_central/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-greek.woff2	(from https://www.classcentral.com/)
18:05:04	4572/4572	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2018:00:47%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-vietnamese.woff2	C:/My%20Web%20Sites/class_central/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-vietnamese.woff2	(from https://www.classcentral.com/)
18:05:04	12168/12168	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin-ext.woff2	C:/My%20Web%20Sites/class_central/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin-ext.woff2	(from https://www.classcentral.com/)
18:05:05	12976/12976	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2002%20Mar%202023%2018:00:47%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin.woff2	C:/My%20Web%20Sites/class_central/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-700-bold-latin.woff2	(from https://www.classcentral.com/)
18:05:05	990/990	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2017:52:19%20GMT	https://www.classcentral.com/images/fade-gradient.png	C:/My%20Web%20Sites/class_central/www.classcentral.com/images/fade-gradient.png	(from https://www.classcentral.com/)
18:05:06	50234/50234	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/class_central/www.google-analytics.com/analytics.js	(from https://www.classcentral.com/)
18:05:07	600956/600956	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2021:05:06%20GMT	https://www.classcentral.com/rankings	C:/My%20Web%20Sites/class_central/www.classcentral.com/rankings.html	(from https://www.classcentral.com/)
18:05:08	593783/593783	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2021:05:06%20GMT	https://www.classcentral.com/collections	C:/My%20Web%20Sites/class_central/www.classcentral.com/collections.html	(from https://www.classcentral.com/)
18:05:09	576282/576282	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2021:05:08%20GMT	https://www.classcentral.com/subjects	C:/My%20Web%20Sites/class_central/www.classcentral.com/subjects.html	(from https://www.classcentral.com/)
18:05:11	900141/900141	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2021:05:09%20GMT	https://www.classcentral.com/subject/cs	C:/My%20Web%20Sites/class_central/www.classcentral.com/subject/cs.html	(from https://www.classcentral.com/)
18:05:11	848172/848172	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2021:05:10%20GMT	https://www.classcentral.com/subject/health	C:/My%20Web%20Sites/class_central/www.classcentral.com/subject/health.html	(from https://www.classcentral.com/)
18:05:12	7626/7626	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2021:05:11%20GMT	https://www.classcentral.com/subject/business	C:/My%20Web%20Sites/class_central/www.classcentral.com/subject/business	(from https://www.classcentral.com/)
18:05:12	7849/7849	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2021:05:11%20GMT	https://www.classcentral.com/subject/humanities	C:/My%20Web%20Sites/class_central/www.classcentral.com/subject/humanities.2b.delayed	(from https://www.classcentral.com/)
18:05:13	821434/821434	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2021:05:11%20GMT	https://www.classcentral.com/subject/maths	C:/My%20Web%20Sites/class_central/www.classcentral.com/subject/maths.html	(from https://www.classcentral.com/)
18:05:13	7639/7639	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2021:05:12%20GMT	https://www.classcentral.com/subject/engineering	C:/My%20Web%20Sites/class_central/www.classcentral.com/subject/engineering	(from https://www.classcentral.com/)
18:05:13	7815/7815	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2021:05:13%20GMT	https://www.classcentral.com/subject/science	C:/My%20Web%20Sites/class_central/www.classcentral.com/subject/science.2d.delayed	(from https://www.classcentral.com/)
18:05:15	7851/7851	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2021:05:14%20GMT	https://www.classcentral.com/subject/social-sciences	C:/My%20Web%20Sites/class_central/www.classcentral.com/subject/social-sciences.2f.delayed	(from https://www.classcentral.com/)
18:05:16	788926/788926	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2021:05:14%20GMT	https://www.classcentral.com/subject/education	C:/My%20Web%20Sites/class_central/www.classcentral.com/subject/education.html	(from https://www.classcentral.com/)
18:05:16	7673/7673	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2021:05:15%20GMT	https://www.classcentral.com/subject/art-and-design	C:/My%20Web%20Sites/class_central/www.classcentral.com/subject/art-and-design	(from https://www.classcentral.com/)
18:05:16	7859/7859	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2021:05:16%20GMT	https://www.classcentral.com/subject/data-science	C:/My%20Web%20Sites/class_central/www.classcentral.com/subject/data-science.31.delayed	(from https://www.classcentral.com/)
18:05:17	8006/8006	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2021:05:16%20GMT	https://www.classcentral.com/subject/programming-and-software-development	C:/My%20Web%20Sites/class_central/www.classcentral.com/subject/programming-and-software-development.32.delayed	(from https://www.classcentral.com/)
18:05:18	7815/7815	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2021:05:18%20GMT	https://www.classcentral.com/subject/infosec	C:/My%20Web%20Sites/class_central/www.classcentral.com/subject/infosec.34.delayed	(from https://www.classcentral.com/)
